SeriousDlqin2yrs,RevolvingUtilizationOfUnsecuredLines,age,NumberOfTime30-59DaysPastDueNotWorse,DebtRatio,MonthlyIncome,NumberOfOpenCreditLinesAndLoans,NumberOfTimes90DaysLate,NumberRealEstateLoansOrLines,NumberOfTime60-89DaysPastDueNotWorse,NumberOfDependents
0,0.07247511,50,0,0.140705727,9096.0,6,0,1,0,1.0
0,0.01467964,64,0,695.0,,6,0,2,0,
0,0.003769086,42,0,0.000754432,2650.0,4,0,0,0,0.0
1,0.749925007,45,2,0.734292831,3612.0,8,0,1,0,3.0
0,0.0,45,0,0.220691494,11250.0,7,0,2,0,1.0
0,0.034048298,48,0,0.490499854,3420.0,4,0,1,0,4.0
0,0.02567635,79,0,0.011247188,4000.0,6,0,0,0,0.0
0,0.31039777,42,0,0.23376974,7408.0,9,0,1,0,1.0
0,0.031592685,53,0,0.250907863,11840.0,16,0,3,0,0.0
1,0.782100059,66,1,0.944142578,9201.0,16,0,4,0,1.0
0,0.158294654,58,0,3547.0,,15,0,2,0,3.0
0,0.032871287,65,0,1366.0,,11,0,0,0,1.0
0,0.002279909,73,0,3.593683194,14500.0,26,0,23,0,0.0
0,0.078366845,52,1,0.06885759,5750.0,18,0,0,0,0.0
0,0.429526901,33,0,0.50497469,5728.0,6,0,2,0,1.0
0,0.085784404,50,0,0.150128535,5834.0,9,0,0,0,1.0
0,0.370444852,44,0,0.485178903,12380.0,14,0,1,0,2.0
0,0.001830564,59,0,0.01611432,9866.0,9,0,0,0,0.0
0,0.567153705,59,0,1.024743814,4000.0,20,0,3,0,2.0
0,0.121668303,47,0,0.052273915,1912.0,2,0,0,0,2.0
0,0.336239141,51,1,0.655575108,6250.0,10,0,2,0,4.0
0,0.395973154,27,0,0.265306122,2400.0,4,0,0,0,0.0
1,0.92134259,45,4,0.300258654,18170.0,8,1,2,0,2.0
0,0.165922272,42,1,0.105885026,4400.0,5,0,0,0,2.0
1,0.9999999,51,0,0.0,3008.0,0,0,0,0,1.0
0,0.016018429,30,0,0.128059778,3880.0,12,0,0,0,0.0
0,0.075602241,62,0,0.894185176,4006.0,13,0,2,0,0.0
0,0.379414546,52,0,0.400422695,6150.0,14,0,2,0,2.0
0,0.377787301,54,0,3.927133269,1042.0,14,0,3,0,0.0
0,0.066878905,70,0,2338.0,,6,0,1,0,
1,0.857899071,53,1,0.246062708,6920.0,8,0,1,0,1.0
0,0.073994442,62,0,0.330797653,4600.0,9,0,2,0,1.0
0,0.009176201,63,0,0.01726488,2200.0,7,0,1,0,0.0
0,0.9999999,32,0,0.695473251,1700.0,2,0,1,0,1.0
0,4268.0,65,0,0.234300172,11066.0,4,0,1,0,1.0
0,0.0,26,1,0.0,0.0,2,0,0,0,0.0
0,0.024200783,68,0,1048.0,,6,0,1,0,0.0
0,0.201966339,38,0,1314.5,1.0,5,0,1,0,2.0
0,0.092727152,64,0,0.332650972,12700.0,9,0,3,0,0.0
0,0.14621243,36,1,0.649524299,11666.0,13,0,2,0,0.0
0,0.9999999,87,0,597.0,,2,0,1,0,1.0
0,0.174619091,57,0,0.310699268,6420.0,14,0,1,0,0.0
0,0.157657077,47,0,0.604563632,4250.0,7,0,1,0,1.0
0,0.17565864,53,1,0.654369628,5583.0,16,0,4,0,3.0
1,0.977551405,34,0,321.0,,2,2,0,1,0.0
0,0.499077642,67,1,0.292301718,10300.0,20,0,1,0,0.0
0,0.042423727,64,0,45.0,,3,0,1,0,1.0
0,0.003093653,92,0,2.0,,8,0,0,0,0.0
1,0.708552719,40,2,0.167320939,13500.0,13,0,0,1,0.0
0,0.39911115,57,0,0.055533036,4933.0,4,0,0,0,1.0
0,0.721730699,53,0,0.176964607,5000.0,4,0,0,0,2.0
0,0.037424064,50,0,0.420138062,4200.0,5,0,1,0,3.0
0,0.090676373,64,0,1268.0,,7,0,1,0,0.0
0,0.00695216,53,0,427.0,,3,0,1,0,1.0
0,0.021063847,45,0,0.652027838,4166.0,7,0,4,0,1.0
1,1.014976048,39,0,1059.0,,3,2,0,0,0.0
0,0.280374393,62,0,0.878901373,800.0,10,0,0,0,0.0
0,0.232325272,57,0,0.330303375,8800.0,11,0,1,0,0.0
0,0.028418438,30,0,0.098716683,7090.0,4,0,0,0,0.0
0,0.364659539,34,0,0.260579807,3000.0,9,0,0,0,0.0
0,0.33149408,74,0,1.545734051,1300.0,14,0,2,0,0.0
0,0.395734839,51,0,0.042716583,8333.0,10,0,0,0,1.0
0,0.0,63,0,84.0,,9,0,0,0,0.0
0,0.329596005,38,0,0.162767447,5000.0,7,0,0,0,0.0
0,0.021533657,66,0,0.270169632,7250.0,6,0,1,0,0.0
0,0.081173818,61,0,0.387034814,8329.0,10,0,2,0,1.0
0,0.0,26,0,0.378197998,898.0,2,0,0,0,0.0
0,0.013824381,35,1,0.653669266,5000.0,13,0,2,0,0.0
0,0.923433549,60,0,874.0,,10,0,1,0,
0,0.000173123,68,1,0.150471719,23000.0,11,0,1,0,0.0
0,0.074284035,68,0,0.188710117,3666.0,15,0,0,0,0.0
0,0.232434871,46,0,0.451677405,4500.0,10,0,1,0,3.0
1,0.9999999,44,0,0.01847079,6983.0,1,0,1,0,2.0
0,0.01589947,41,0,0.020989505,666.0,3,0,0,0,1.0
0,0.235796147,30,0,0.712403599,3111.0,7,0,2,0,2.0
0,0.014800819,58,0,0.003107968,22200.0,6,0,0,0,0.0
0,0.9999999,49,0,991.0,,1,0,1,0,4.0
0,0.024932025,41,0,0.301190476,7559.0,11,0,2,0,1.0
0,0.105649058,29,1,0.26587746,6250.0,8,0,1,0,0.0
0,0.843853463,48,0,0.403951036,8250.0,10,0,2,0,2.0
0,0.419864661,61,1,0.452762466,7800.0,12,0,2,0,1.0
0,0.285528031,27,0,0.208661417,2539.0,2,0,0,0,0.0
0,0.048943494,61,0,0.007598987,7500.0,5,0,0,0,2.0
0,0.40961458,58,0,0.559209065,4500.0,17,0,2,0,0.0
0,0.040610473,26,0,0.002999539,4333.0,2,0,0,0,0.0
1,0.929220469,52,1,0.849549372,15200.0,15,1,3,1,0.0
0,0.0,41,0,0.155060562,26666.0,5,0,1,0,4.0
0,0.008689109,65,0,1297.0,,8,0,2,0,0.0
0,0.021691751,57,0,2078.0,,4,0,1,0,0.0
0,0.264937085,63,0,0.073827224,3900.0,3,0,0,0,0.0
0,0.427486157,36,0,0.566143386,10000.0,8,0,1,0,0.0
0,0.132986088,55,0,0.741876846,4400.0,11,0,4,0,0.0
1,0.9999999,45,1,0.189039652,7590.0,3,0,1,0,0.0
0,0.219605126,74,0,0.077987002,6000.0,7,0,0,0,1.0
0,0.025153343,89,0,0.001679866,8333.0,3,0,0,0,0.0
0,0.360537415,41,0,0.5063038,11500.0,12,0,2,0,4.0
0,0.198266158,45,0,1615.0,,12,0,2,0,0.0
1,0.235671897,43,0,0.070480249,6100.0,5,1,0,0,2.0
0,0.089366322,66,0,121.0,,3,0,0,0,0.0
1,1.215139442,29,0,470.0,,2,0,0,0,0.0
1,0.843630303,46,0,0.376749767,7500.0,12,0,1,0,4.0
0,0.055502723,59,1,0.146280493,11600.0,5,0,1,0,1.0
0,0.228554289,25,1,0.020349875,2800.0,5,0,0,0,0.0
0,0.302024398,39,1,0.081100492,18100.0,11,0,0,0,1.0
0,0.0,45,1,0.593274112,9455.0,12,0,6,0,0.0
0,0.650313373,41,0,0.305373257,4875.0,10,0,0,0,1.0
0,0.002118465,59,0,0.158153487,12000.0,3,0,1,0,4.0
0,0.493758789,52,0,0.195040661,7500.0,8,0,0,0,2.0
0,0.007200577,63,0,38.0,,5,0,0,0,0.0
0,0.501323822,67,0,4414.0,,8,0,2,0,0.0
0,0.072818382,53,1,0.222731439,12000.0,27,0,1,0,0.0
0,0.0,52,0,0.227508996,2500.0,3,0,1,0,1.0
0,0.08697101,74,0,7.0,,3,0,0,0,0.0
0,0.210108517,53,0,0.316653757,6454.0,8,0,1,0,1.0
1,0.9999999,47,0,0.362674726,2646.0,2,1,0,0,1.0
0,0.237546471,47,0,0.441388222,5416.0,13,0,1,0,0.0
0,0.03440659,58,0,0.368766404,12953.0,10,0,2,0,1.0
0,0.066932912,44,0,774.0,,4,0,0,0,0.0
0,0.030099328,48,0,2038.0,,9,0,2,0,0.0
0,0.075662463,72,0,236.0,,10,0,0,0,0.0
0,0.0,70,1,0.580233204,1800.0,4,0,1,0,1.0
0,0.115251588,52,0,0.333148148,5399.0,11,0,1,0,1.0
0,0.01045865,36,0,0.210303458,4250.0,5,0,1,0,0.0
1,0.430349706,45,0,1735.0,,15,0,0,0,0.0
0,0.025366541,60,0,0.122405856,13250.0,14,0,1,0,1.0
0,0.9999999,48,0,0.202531646,868.0,1,0,0,0,0.0
0,0.464535465,56,1,0.18468824,2533.0,2,0,1,0,0.0
1,0.848151848,37,0,0.134621793,3000.0,3,1,0,1,0.0
0,0.018755083,23,0,0.078651685,800.0,2,0,0,0,0.0
0,0.107993734,73,0,0.100838397,13000.0,8,0,0,0,1.0
1,0.78962805,34,1,0.862112112,3995.0,10,0,1,0,2.0
0,0.011615236,52,0,441.0,,10,0,0,0,2.0
0,0.076042068,63,0,0.022716947,2200.0,4,0,0,0,0.0
1,1.01282666,51,0,0.154279417,24500.0,9,0,0,0,0.0
0,0.031593681,33,0,523.0,,3,0,0,0,0.0
0,0.049235241,48,1,1.023488256,2000.0,15,0,2,0,3.0
0,0.015947038,80,0,0.261769481,2463.0,13,0,0,0,1.0
1,0.115588441,41,2,1301.0,,3,0,2,0,0.0
0,0.0,60,0,0.0,,3,0,0,0,0.0
0,0.051923702,45,0,0.000821181,75500.0,3,0,0,0,0.0
1,0.544104394,40,1,0.925671622,15000.0,11,0,1,0,3.0
0,0.030174411,68,0,0.025674865,8334.0,13,0,1,0,1.0
0,0.022200266,40,0,0.612083847,4054.0,11,0,2,0,0.0
0,0.046221618,67,0,0.447391689,7916.0,11,0,1,0,1.0
0,0.0,51,0,0.339732054,5000.0,8,0,1,0,0.0
1,0.9999999,25,0,0.07293595,2700.0,1,0,0,0,0.0
0,0.0,42,0,0.887455741,3953.0,10,0,3,0,2.0
0,0.022563159,77,0,0.234268505,6308.0,7,0,2,0,0.0
0,0.124526659,62,0,1851.0,,11,0,2,0,1.0
0,0.193480652,49,1,2359.0,,5,0,1,0,0.0
0,0.0,52,0,1894.0,,7,0,2,0,0.0
0,0.603274795,35,0,0.231015188,1250.0,1,0,0,0,0.0
0,0.728649443,62,0,0.405081091,32000.0,12,0,2,0,0.0
0,0.712365293,30,0,0.414560162,3955.0,8,0,1,0,0.0
0,0.298356198,55,1,0.405770965,8871.0,19,0,2,0,1.0
0,0.174825632,62,0,0.320515286,5200.0,15,0,1,0,1.0
0,0.273379602,40,0,1.17005473,2557.0,7,0,2,0,2.0
0,0.464668094,24,0,0.005999368,3166.0,6,0,0,0,0.0
0,0.0,30,0,0.198414067,5800.0,5,0,0,0,0.0
0,0.9999999,71,0,42.0,,2,0,0,0,0.0
0,0.042652994,43,0,0.363688186,7016.0,7,0,2,0,2.0
0,0.029024274,50,0,0.154417223,4040.0,6,0,1,0,1.0
0,0.0,32,0,0.579815727,4666.0,7,0,1,0,1.0
0,0.023747991,65,0,0.370902078,4666.0,6,0,1,0,0.0
0,0.064725311,37,0,0.798532879,3816.0,6,0,1,0,1.0
0,0.155428297,43,0,0.148346976,18813.0,8,0,2,0,3.0
0,0.136413873,41,0,0.53901694,3600.0,6,0,1,0,1.0
0,0.011347607,52,0,0.39537812,13500.0,7,0,2,0,2.0
0,0.04609347,55,0,0.306316134,9166.0,8,0,2,0,2.0
1,0.23995099,35,2,0.07545696,6400.0,9,0,0,0,0.0
0,0.0,31,0,4.421441774,540.0,12,0,1,0,0.0
0,0.113557311,63,0,0.347686975,7500.0,20,0,2,0,0.0
1,0.415536529,49,1,0.212504869,5133.0,11,1,0,0,2.0
0,0.262454112,45,0,0.354499416,7700.0,13,0,2,0,3.0
0,0.039765763,47,0,0.368466153,3500.0,9,0,1,0,0.0
0,0.994177007,41,0,0.748112353,3310.0,4,0,1,0,3.0
0,0.024693088,69,0,0.069474442,8333.0,13,0,1,0,0.0
0,0.014796866,56,0,0.25956087,9700.0,8,0,1,0,1.0
0,0.14831144,63,0,0.412797156,4500.0,5,0,1,0,0.0
0,0.096173075,43,1,0.337443759,6000.0,5,0,1,0,0.0
0,0.242512625,47,0,0.679522318,5107.0,7,0,1,0,0.0
0,0.065267109,61,0,0.407553859,7333.0,16,0,1,0,1.0
1,0.9999999,35,0,456.0,,2,1,0,0,
0,0.095575488,53,0,2377.0,,10,0,2,0,0.0
0,0.00065563,29,0,30.0,,7,0,0,0,0.0
0,0.364734419,30,0,0.336993563,2640.0,15,0,1,0,0.0
0,0.009174942,90,0,47.0,,8,0,0,0,0.0
1,0.9999999,38,1,0.164785553,3100.0,1,0,0,0,4.0
0,0.073750748,61,0,0.029794041,5000.0,8,0,0,0,0.0
0,0.9999999,38,0,0.379775853,3925.0,3,0,1,0,1.0
0,0.0,67,0,0.003193033,10334.0,6,0,0,0,3.0
1,0.112327916,43,3,0.200389704,9750.0,13,0,1,0,0.0
0,0.0,50,0,0.547045171,5600.0,6,0,2,0,1.0
0,0.865154683,37,0,0.306671514,5500.0,6,0,1,0,1.0
1,1.098901099,29,1,0.614311704,1648.0,7,0,0,0,1.0
0,0.032053642,53,0,0.025487256,2000.0,3,0,0,0,0.0
0,0.057099458,49,0,0.254799781,14583.0,15,0,1,0,3.0
0,0.004746414,65,0,0.412589994,5416.0,13,0,1,0,4.0
0,0.93560322,44,0,4116.0,,2,0,1,0,0.0
0,0.455205097,54,0,0.504991681,3605.0,13,0,0,0,2.0
1,0.9999999,25,0,0.699845679,1295.0,5,0,0,0,1.0
0,0.033191773,57,0,0.283543291,5000.0,17,0,1,0,0.0
0,0.164856143,44,0,0.317585302,8000.0,5,0,2,0,1.0
0,0.005586931,75,0,7.0,0.0,5,0,0,0,0.0
0,0.094472926,63,0,0.296462771,5116.0,9,0,2,0,0.0
0,0.156295777,49,0,0.100322186,9000.0,8,0,0,0,1.0
0,0.273004349,61,0,0.628997868,7972.0,14,0,2,0,0.0
0,0.939797255,78,0,0.492972232,2916.0,15,0,2,0,0.0
1,0.813834099,48,0,0.057070156,2750.0,9,0,0,0,0.0
0,0.176764647,51,0,0.335958005,5333.0,2,0,1,0,0.0
0,0.9999999,56,0,1059.0,,3,0,1,0,0.0
1,0.9999999,47,1,0.517038008,3051.0,4,2,1,0,0.0
0,0.053064118,47,0,0.281304482,9750.0,8,0,2,0,3.0
0,0.394231188,65,0,0.658758837,6364.0,5,0,1,0,0.0
0,0.115618396,59,0,0.506497834,3000.0,5,0,1,0,1.0
0,0.019056005,70,0,920.0,,7,0,1,0,0.0
0,0.115348867,49,0,0.404901762,4936.0,12,0,3,0,0.0
1,0.954587102,44,0,0.4573495,4700.0,8,0,0,0,0.0
1,0.9999999,55,0,0.0,,0,0,0,0,0.0
0,0.080634898,48,0,0.131345763,10833.0,5,0,2,0,4.0
0,0.192734545,44,1,0.437093818,6000.0,9,0,1,0,0.0
0,0.0,40,0,3205.5,1.0,5,0,2,0,0.0
0,0.012715919,50,0,0.343953488,8599.0,13,0,2,0,2.0
0,0.755297627,67,0,0.81984633,6116.0,12,0,2,0,0.0
0,0.004080672,56,0,0.35858759,5833.0,12,0,2,0,1.0
0,0.174159327,44,0,0.227477252,10000.0,7,0,1,0,2.0
0,0.422806949,34,0,0.633807706,2880.0,10,0,1,0,0.0
0,0.089950028,39,0,0.277137921,6945.0,13,0,1,0,5.0
0,0.0,85,1,0.095791676,4300.0,11,0,0,0,0.0
0,0.0,91,0,0.0,,3,0,0,0,0.0
0,0.909963876,63,0,0.530608665,5700.0,9,0,2,0,1.0
1,0.9999999,52,1,0.15969257,8196.0,4,0,2,0,2.0
0,0.026326448,60,0,1251.0,,16,0,1,0,0.0
0,0.037952385,42,0,0.184210526,4673.0,9,0,1,0,0.0
0,0.749482029,60,0,0.713319612,3400.0,7,0,1,0,0.0
0,0.055370375,71,0,833.0,,11,0,1,0,0.0
1,0.873127734,34,0,1.96310241,2655.0,11,0,0,0,2.0
0,0.347069241,67,0,0.552445401,3250.0,8,0,1,0,1.0
0,0.021798547,59,0,0.426794676,4582.0,6,0,2,0,0.0
1,0.602189687,53,1,0.628628344,3513.0,7,0,1,0,2.0
0,0.035915924,55,0,0.064802814,5400.0,4,0,0,0,0.0
0,0.0,33,0,0.059334845,10583.0,5,0,0,0,2.0
1,0.9999999,28,2,3146.0,,6,0,1,4,0.0
0,0.569681709,47,0,6.163152053,900.0,11,0,2,0,2.0
0,0.066891663,51,0,0.065352872,5936.0,4,0,0,0,0.0
0,0.019958369,67,0,666.0,,8,0,0,0,0.0
0,0.011550302,81,0,0.005997601,2500.0,9,0,0,0,1.0
1,0.763646543,71,1,0.511822139,8500.0,9,0,2,1,2.0
0,0.683413551,54,0,0.577433628,5423.0,7,0,1,0,0.0
1,0.921615668,49,0,0.448380787,4600.0,11,0,0,0,1.0
0,0.0297956,91,0,26.0,,4,0,0,0,
1,0.877480133,32,0,0.455723542,4166.0,11,0,0,0,2.0
0,0.013422562,79,0,0.24229655,3796.0,12,0,1,0,0.0
0,0.06233553,80,0,0.015558699,5655.0,4,0,0,0,0.0
0,0.022735155,60,0,1569.0,,7,0,1,0,
0,0.222615724,55,0,0.103090363,21291.0,6,0,1,0,1.0
1,0.740330387,64,1,3088.0,,4,0,1,0,0.0
1,0.866208919,44,4,0.107380444,15933.0,11,0,0,1,0.0
0,0.174032785,50,0,0.213750985,10151.0,13,0,1,0,1.0
0,0.004505221,39,0,0.435848607,4200.0,6,0,2,0,2.0
0,0.354754272,67,0,1815.0,,9,0,1,0,0.0
0,0.0,51,0,0.051532225,7276.0,6,0,0,0,1.0
0,0.17259292,60,0,0.144097679,19000.0,12,0,2,0,0.0
1,0.772933697,34,0,0.216909046,4056.0,4,2,0,3,3.0
0,0.038768825,49,0,0.018041237,3879.0,11,0,0,0,0.0
0,0.381261938,54,0,0.708425232,6800.0,12,0,2,0,2.0
1,0.969806039,29,0,0.200613839,3583.0,7,0,0,2,1.0
0,0.248626042,50,0,0.327383077,2800.0,5,0,0,0,1.0
0,0.198131848,26,0,0.122347066,800.0,5,0,0,0,0.0
0,0.372179377,24,0,0.047503045,820.0,4,0,0,0,0.0
0,0.008521492,43,0,992.0,,11,0,1,0,2.0
0,0.0,43,0,0.418045471,8400.0,15,0,3,0,1.0
0,0.105578,47,1,0.218982481,8333.0,7,0,0,0,0.0
0,0.032567313,78,0,0.16913215,2027.0,5,0,0,0,0.0
0,0.024719011,51,0,0.007197121,2500.0,3,0,0,0,0.0
0,0.180277587,33,0,0.295287828,8042.0,12,0,2,0,2.0
0,0.029214723,56,0,0.213864026,5250.0,6,0,1,0,0.0
1,0.313797824,61,0,0.082783443,5000.0,8,0,0,1,0.0
0,0.002085062,60,0,0.062194863,4710.0,9,0,1,0,0.0
0,0.0,28,0,0.073308846,6533.0,8,0,1,0,0.0
0,0.034598616,86,0,0.003124609,8000.0,2,0,0,0,0.0
0,0.040924296,51,0,0.243939015,4000.0,11,0,2,0,2.0
1,0.9999999,25,0,0.163239075,1555.0,2,0,0,0,0.0
0,0.003265279,62,0,0.001587073,6930.0,12,0,0,0,4.0
0,0.349777201,48,0,0.236768802,9333.0,10,0,2,0,2.0
0,0.153653033,50,0,0.251159814,6250.0,11,0,1,0,0.0
1,0.868231983,32,0,1.202265911,3000.0,8,0,1,0,1.0
1,0.820272658,50,0,0.785919083,3138.0,9,1,2,1,0.0
0,0.003941929,31,0,0.067671486,3250.0,2,0,0,0,2.0
0,0.058047493,36,0,0.496859377,7800.0,5,0,2,0,1.0
0,0.0,46,0,0.221694576,4000.0,7,0,0,0,0.0
0,0.013142254,64,0,1390.0,,7,0,1,0,0.0
0,0.17343208,45,0,0.054094591,10000.0,9,0,1,0,0.0
0,0.9999999,54,0,0.274544988,3900.0,3,0,1,0,1.0
1,0.7822639,59,0,0.85302843,8089.0,19,0,4,0,0.0
1,0.895161573,59,0,0.214073495,6394.0,8,2,0,0,1.0
0,0.0,67,0,0.0,,1,0,0,0,0.0
1,0.969773589,40,0,0.913860611,3830.0,6,0,2,0,2.0
0,0.025233463,56,0,236.0,,18,0,1,0,0.0
1,0.9999999,35,0,0.115681234,3500.0,2,0,0,0,2.0
1,0.9999999,36,1,1341.0,,7,3,0,0,0.0
1,0.44244956,38,2,0.036990752,4000.0,3,0,0,0,0.0
0,0.625863532,28,0,0.136429608,6200.0,2,0,0,0,0.0
0,0.212859564,41,0,3141.0,,17,0,1,0,2.0
1,1.413173653,22,1,0.174377224,280.0,3,1,0,1,0.0
0,0.153103803,50,0,0.272741457,12817.0,7,0,2,0,0.0
0,0.194669259,44,0,0.442101436,5500.0,7,0,1,0,1.0
0,0.57711687,55,0,0.323486683,8259.0,17,0,1,0,1.0
0,0.9999999,62,0,0.136775218,6294.0,12,0,1,0,0.0
1,0.9999999,34,98,0.0,3144.0,0,98,0,98,2.0
0,0.05266548,74,0,0.097299444,2517.0,14,0,0,0,0.0
0,0.006571878,47,0,0.302479717,8750.0,13,0,1,0,0.0
0,0.080140448,50,0,0.233975371,9500.0,12,0,1,0,2.0
0,0.001020138,46,0,0.055651449,16800.0,10,0,1,0,1.0
0,0.233502947,44,0,0.407331976,5400.0,10,0,2,0,3.0
0,0.007634306,56,0,0.180234913,4937.0,11,0,1,0,0.0
0,0.055674738,49,0,0.026315789,9233.0,12,0,0,0,3.0
0,0.018808628,51,0,0.62273579,1600.0,4,0,1,0,0.0
0,0.347305389,63,0,3565.0,,12,0,1,0,1.0
1,0.9999999,40,1,0.02349979,2382.0,0,1,0,0,2.0
0,0.0,49,0,5949.0,,12,0,3,0,1.0
0,0.013166506,72,0,0.273377785,6148.0,10,0,0,0,1.0
0,0.112679702,54,0,0.06595941,2167.0,3,0,0,0,0.0
0,0.146390241,61,0,65.0,,3,0,0,0,0.0
0,0.096993446,59,0,0.27851952,5916.0,15,0,1,0,0.0
